lemma,language_code,status
no longer,en,PENDING
no matter how...,en,PENDING
no matter what...,en,PENDING
no matter...,en,PENDING
no more than...,en,PENDING
no problem,en,PENDING
no way,en,PENDING
no way!,en,PENDING
not any longer,en,PENDING
not at all,en,PENDING
not even,en,PENDING
not necessarily,en,PENDING
not only,en,PENDING
not only... but also...,en,PENDING
not to mention,en,PENDING
nothing but,en,PENDING
nothing like,en,PENDING
of course,en,PENDING
oh dear,en,PENDING
oh no!,en,PENDING
oh well,en,PENDING
oh yes,en,PENDING
old friend,en,PENDING
on a regular basis,en,PENDING
on behalf of sb,en,PENDING
on board,en,PENDING
on both sides,en,PENDING
on earth,en,PENDING
on holiday,en,PENDING
on monday,en,PENDING
on my own,en,PENDING
on television,en,PENDING
on the basis of sth,en,PENDING
on the beach,en,PENDING
on the floor,en,PENDING
on the ground,en,PENDING
on the internet,en,PENDING
on the left,en,PENDING
on the one hand,en,PENDING
on the other hand,en,PENDING
on the other side,en,PENDING
on the other side of sth,en,PENDING
on the part of sb,en,PENDING
on the phone,en,PENDING
on the right,en,PENDING
on the street,en,PENDING
on the streets,en,PENDING
on the television,en,PENDING
on the wall,en,PENDING
on the way,en,PENDING
on their own,en,PENDING
on time,en,PENDING
on top of sb,en,PENDING
on top of sth,en,PENDING
on tuesday, etc.,en,PENDING
on tv,en,PENDING
on your own,en,PENDING
once a month,en,PENDING
once a week,en,PENDING
once a year,en,PENDING
once a...,en,PENDING
once again,en,PENDING
one another,en,PENDING
one day,en,PENDING
one or two,en,PENDING
opposed to sth,en,PENDING
or so,en,PENDING
or somebody,en,PENDING
or something,en,PENDING
or somewhere,en,PENDING
or two,en,PENDING
ordinary people,en,PENDING
other than,en,PENDING
ought to,en,PENDING
out of sth,en,PENDING
out there,en,PENDING
over the course of...,en,PENDING
over the years,en,PENDING
over there,en,PENDING
over time,en,PENDING
participate in sth,en,PENDING
pay attention,en,PENDING
pay attention to sb,en,PENDING
pay attention to sth,en,PENDING
pay for sth,en,PENDING
per hour,en,PENDING
phone call,en,PENDING
phone number,en,PENDING
pick sb up,en,PENDING
pick sth up,en,PENDING
plan for sth,en,PENDING
play with sb,en,PENDING
play with sth,en,PENDING
point of view,en,PENDING
point out,en,PENDING
point out that...,en,PENDING
point sth out,en,PENDING
police officer,en,PENDING
police station,en,PENDING
post office,en,PENDING
potential for sth,en,PENDING
prepared to do sth,en,PENDING
pretty good,en,PENDING
pretty much,en,PENDING
prices are going down.,en,PENDING
prices are going up.,en,PENDING
prices ranging from €25 to €60,en,PENDING
primary school,en,PENDING
prime minister,en,PENDING
prior to,en,PENDING
prove to be sth,en,PENDING
public transport,en,PENDING
put it,en,PENDING
put sth forward,en,PENDING
put sth on,en,PENDING
put sth together,en,PENDING
put sth up,en,PENDING
quality of life,en,PENDING
quite a good player,en,PENDING
quite a long time,en,PENDING
quite a lot,en,PENDING
quite a lot of sth,en,PENDING
quite a...,en,PENDING
raise money,en,PENDING
raise money for sth,en,PENDING
ranging from,en,PENDING
rather than,en,PENDING
reaction to sth,en,PENDING
really enjoy,en,PENDING
really good,en,PENDING
really like,en,PENDING
reasons why,en,PENDING
refer to sb,en,PENDING
refer to sb as sth,en,PENDING
refer to sth,en,PENDING
refer to sth as sth,en,PENDING
regarded as sth,en,PENDING
relate to sb,en,PENDING
relate to sth,en,PENDING
related to sb,en,PENDING
related to sth,en,PENDING
relating to sb,en,PENDING
relating to sth,en,PENDING
relevant to sb,en,PENDING
relevant to sth,en,PENDING
rely on sb,en,PENDING
rely on sth,en,PENDING
report on sth,en,PENDING
respect for sb,en,PENDING
respect for sth,en,PENDING
respond to sb,en,PENDING
respond to sth,en,PENDING
result in sth,en,PENDING
right now,en,PENDING
rise in sth,en,PENDING
role model,en,PENDING
run out,en,PENDING
run out of sth,en,PENDING
save money,en,PENDING
science fiction,en,PENDING
search engine,en,PENDING
search for sb,en,PENDING
search for sth,en,PENDING
secondary school,en,PENDING
see you,en,PENDING
see you around,en,PENDING
see you later,en,PENDING
see you soon,en,PENDING
seek to do sth,en,PENDING
set out,en,PENDING
set sth up,en,PENDING
set to do sth,en,PENDING
she went into her room.,en,PENDING
she went off to get a drink.,en,PENDING
short of sth,en,PENDING
sit down,en,PENDING
slow down,en,PENDING
so as to do sth,en,PENDING
so far,en,PENDING
so that...,en,PENDING
solution to sth,en,PENDING
some kind of...,en,PENDING
someone else,en,PENDING
something else,en,PENDING
something like...,en,PENDING
sort of sth,en,PENDING
sort sb out,en,PENDING
sort sth out,en,PENDING
sort yourself out,en,PENDING
sound like sb,en,PENDING
sound like sth,en,PENDING
speak to sb,en,PENDING
spend time,en,PENDING
spend time doing sth,en,PENDING
spend time with sb,en,PENDING
stand up,en,PENDING
start with sb,en,PENDING
start with sth,en,PENDING
stay in,en,PENDING
stay in a hotel,en,PENDING
stay in bed,en,PENDING
sth,en,PENDING
stick to sth,en,PENDING
subject to sth,en,PENDING
succeed in doing sth,en,PENDING
such a,en,PENDING
such a good idea,en,PENDING
such an...,en,PENDING
such as,en,PENDING
suffer from sth,en,PENDING
sum sth up,en,PENDING
sum up,en,PENDING
sure to do sth,en,PENDING
swimming pool,en,PENDING
take advantage of sb,en,PENDING
take advantage of sth,en,PENDING
take care of sb,en,PENDING
take care of sth,en,PENDING
take care of yourself,en,PENDING
take off,en,PENDING
take over,en,PENDING
take over from sb,en,PENDING
take part,en,PENDING
take part in sth,en,PENDING
take place,en,PENDING
take sb on,en,PENDING
take sth into account,en,PENDING
take sth off,en,PENDING
take sth on,en,PENDING
take sth up,en,PENDING
take up golf,en,PENDING
take up sth,en,PENDING
take up too much room,en,PENDING
