lemma,language_code,status
effect n. a2,en,PENDING
effective adj. b1,en,PENDING
effectively adv. b1,en,PENDING
efficient adj. b2,en,PENDING
effort n. b1,en,PENDING
egg n. a1,en,PENDING
eight number a1,en,PENDING
eighteen number a1,en,PENDING
eighty number a1,en,PENDING
either det. adv. a2,en,PENDING
"either pron., adv. a2",en,PENDING
elderly adj. b2,en,PENDING
elect v. b2,en,PENDING
election n. b1,en,PENDING
electric adj. a2,en,PENDING
electrical adj. a2,en,PENDING
electricity n. a2,en,PENDING
electronic adj. a2,en,PENDING
element n. b1,en,PENDING
elephant n. a1,en,PENDING
eleven number a1,en,PENDING
else adv. a1,en,PENDING
elsewhere adv. b2,en,PENDING
"email n., v. a1",en,PENDING
embarrassed adj. b1,en,PENDING
embarrassing adj. b1,en,PENDING
emerge v. b2,en,PENDING
emergency n. b1,en,PENDING
emotion n. b1,en,PENDING
emotional adj. b2,en,PENDING
emphasis n. b2,en,PENDING
emphasize v. b2,en,PENDING
employ v. a2,en,PENDING
employee n. a2,en,PENDING
employer n. a2,en,PENDING
employment n. b1,en,PENDING
"empty adj. a2, v. b1",en,PENDING
enable v. b2,en,PENDING
"encounter v., n. b2",en,PENDING
encourage v. b1,en,PENDING
"end n., v. a1",en,PENDING
ending n. a2,en,PENDING
